artist_name,album_name,year,avg_dr,min_dr,max_dr,codec,source
Bert Jansch,Rosemary Lane,2001,17,14,19,lossy,Unknown
Steve Earle,Exit O,1987,17,14,19,lossless,CD
The Dolphins,Malayan Breeze,1991,17,14,19,lossless,CD
Chick Corea,Rendezvous in New York [2 cd's],2003,17,14,19,lossless,Unknown
Miles Davis & Quincy Jones,Miles & Quincy Live At Montreux,1993,17,14,19,lossless,CD
Scruffy The Cat,Moons Of Jupiter,1988,17,14,19,lossless,CD
Charly Antolini,Knock Out [vinyl],1979,17,14,19,lossless,Unknown
Charly Antolini,Knock Out,1990,17,14,19,lossless,Unknown
Andy Narell,Little Secrets,1989,17,14,19,lossless,CD
Steve Earle,Exit O,1987,17,14,19,lossless,Unknown
Tom Harrell Quintet,Open Air,2017,17,14,19,lossless,CD
Ana Moura,Guarda-me a Vida Na Mão,2003,17,14,19,lossy,Unknown
Chris & Cosey,October (Love Song) (Qobuz),1983,17,14,19,lossless,Download
"Keith Jarrett, Gary Peacock, Paul Motian",At The Deer Head Inn,1994,17,14,19,lossless,Unknown
DeGarmo & Key,D&K,1987,17,14,19,lossy,Download
Midori Hara (原みどり),MiDo,1987,17,14,19,lossless,CD
Orchestre Révolutionnaire et Romantique/John Eliot Gardiner,Hector Berlioz: Symphonie Fantastique,1993,17,14,20,lossless,Unknown
LSO Colin Davis,Berlioz - Symphonie fantastique,2002,17,14,20,lossless,CD
John Cage,Complete Music for Piano Vol 18,2004,17,14,20,lossless,CD
Theatre of Voices - Paul Hillier,Stories - Berio and Friends,2011,17,14,20,lossless,CD
Bert Jansch,When the Circus Comes to Town,1995,17,14,20,lossy,Unknown
Yo-Yo Ma; Baltimore Symphony; David Zinman,The New York Album,1993,17,14,20,lossless,CD
Ravi Shankar,Golden Jubilee Concert (2 CD Special Edition),1990,17,14,20,lossless,CD
The David Hazeltine Trio,The Jobim Songbook in New York [HDtracks],2008,17,14,20,lossless,Download
Miche Fambro,My Canvas,1999,17,14,20,lossless,Download
Terry Jennings / John Cage / John Tilbury / Sebastian Lexer,Lost Daylight,2010,17,14,20,lossless,CD
"Tasmin Little, BBC Symphony Orchestra, Edward Gardner",Walton: Symphony No. 1; Violin Concerto [24/96],2014,17,14,20,lossless,Download
Thelonious Monk,Thelonious Himself,2008,17,14,20,lossless,CD
Cafeine,La Citadelle,1994,17,14,21,lossless,Unknown
Pole,CD 1,1999,17,14,21,lossless,CD
Pole,1 2 3 (1),2008,17,14,21,lossless,CD
Flamenco Fever,"""Live""  Direct To Disc",1978,17,14,21,lossless,Vinyl
Pole,1,1998,17,14,21,lossless,Download
"Budapest Festival Orchestra, Ivan Fischer",Béla Bartók ‎– Bluebeard's Castle,2003,17,14,22,lossless,CD
Rabih Abou-Khalil,Navas,1988,17,14,22,lossless,Unknown
Morton Subotnick,Morton Subotnick: Touch / Jacob's Room,2004,17,14,23,lossy,Download
Steve Khan/Rob Mounsey,Local Color,1987,17,14,25,lossless,Unknown
"Dohnányi, Cleveland Orchestra",Gustav Mahler - Symphony No. 1,1990,17,15,18,lossless,CD
Various Artists,"One Night with Blue Note Preserved, Volume 1",1985,17,15,18,lossless,Unknown
Jan Boerman,The complete tape music of Jan Boerman (Disc 3),1998,17,15,18,lossless,Unknown
Fred Wesley,House Party,1993,17,15,18,lossless,Unknown
"Staatskapelle Dresden, Marek Janowski",Richard Wagner - Siegfried,1982,17,15,18,lossless,CD
"Janos Starker, Orchestre National De France, Jascha Horenstein",Mahler - Symphony No. 9 / Strauss - Don Quichotte,1988,17,15,18,lossless,CD
Aftermath,Eyes of Tomorrow,1995,17,15,18,lossless,CD
The Ben Webster Quintet,Soulville,1989,17,15,18,lossless,CD
Dennis Chambers,Getting Even,1992,17,15,18,lossless,CD
Tadeusz Nalepa,Absolutnie (Hungary),1991,17,15,19,lossless,CD
The Voice & Rhythm (ザ・ボイス&リズム),Ohh!!!,1985,17,15,19,lossless,CD
Tethered Moon,First Meeting,1997,17,15,19,lossless,CD
"ROBERTA ALEXANDER / CONCERTGEBOUW ORCHESTRA, AMSTERDAM / BERNARD HAITINK",MAHLER: SYMPHONY NO. 4,1984,17,15,19,lossless,CD
Herbert Kegel & Dresdner Philharmonie,Beethoven: Symphony No9,1987,17,15,19,lossless,Unknown
Clark Terry,Live at The Village Gate,2008,17,15,19,lossless,Download
Jan Garbarek,I Took Up The Runes,2008,17,15,19,lossless,Unknown
Schlagzeugensemble Bernd Kremling,Realistic Percussion (Audioplatte 2),1983,17,15,19,lossless,Vinyl
Giorgio Moroder,From Here To Eternity [vinyl],1977,17,15,19,lossless,Unknown
Ry Cooder & W.M. Bhatt,A Meeting By The River (HDTracks 24/88 Hi Res),1993,17,15,19,lossless,Download
Hariprasad Chaurasia,Rag Ahir Bhairav,1988,17,15,19,lossless,CD
Jan Garbarek,I Took Up The Runes,1990,17,15,19,lossless,Unknown
Arcansiel,Normality of Perversion,1994,17,15,19,lossless,Unknown
Paul McCartney,Pipes of Peace (1984 Europe Release),1983,17,15,19,lossless,CD
Dave Grusin,Out of the Shadows,1982,17,15,19,lossless,CD
"John McLaughlin, Al Di Meola, Paco De Lucia","Passion, Grace & Fire",1983,17,15,19,lossless,Unknown
Duke Jordan Trio,Flight to Japan,1993,17,15,19,lossless,CD
Herbie Hancock,Quartet,1991,17,15,19,lossless,Unknown
Paco de Lucia,Castro Marin,2000,17,15,19,lossless,CD
Chick Corea,"Now He Sings, Now He Sobs [96/24]",2019,17,15,19,lossless,Download
Harry James,Comin' From A Good Place (CD-6),1989,17,15,19,lossless,CD
Lionel Hampton And The Golden Men Of Jazz,Live At The Blue Note,1991,17,15,19,lossless,CD
Ry Cooder & W.M. Bhatt,A Meeting by the River,1993,17,15,19,lossless,CD
Paul McCartney,Pipes of Peace,1983,17,15,19,lossless,CD
Herbie Hancock,Quartet,1989,17,15,19,lossless,CD
Anthony Braxton,Town Hall 1972,1990,17,15,19,lossless,CD
The Jimmy Cobb Quartet,Cobb's Corner (SACD),2007,17,15,19,lossless,CD
Herb Alpert,Rise [Vinyl - MFSL],1982,17,15,19,lossless,Vinyl
Talking Heads,Speaking In Tongues,1986,17,15,20,lossless,Unknown
Current 93,Some Soft Black Stars Seen Over London,2003,17,15,20,lossless,Unknown
"Bergen Philharmonic Orchestra, Andrew Litton","Stravinsky ‎– The Rite of Spring, Petrushka",2011,17,15,20,lossless,CD
Fiona Boyes,Professin' the Blues,2016,17,15,20,lossless,Download
George Benjamin,A Mind of Winter: The Music of George Benjamin,2000,17,15,20,lossless,CD
Sequentia,The Rheingold Curse (disc 2) [CD layer of SACD],2002,17,15,20,lossless,Unknown
アンリ菅野 (Anli Sugano) With Ruby Braff,In Manhattan,1987,17,15,20,lossless,CD
Pierre-Laurent Aimard,Olivier Messiaen - Catalogue d’oiseaux,2018,17,15,20,lossless,CD
John McLaughlin,"""Mediterranean"" Concerto",1990,17,15,20,lossless,Vinyl
Talking Heads,Speaking In Tongues,1983,17,15,20,lossless,CD
Talking Heads,Speaking In Tongues,1983,17,15,20,lossless,Unknown
Talking Heads,Speaking In Tongues [Reissue],1990,17,15,20,lossless,CD
"Berliner Philharmoniker, Claudio Abbado",Gustav Mahler ‎– Symphony No. 6,2005,17,15,20,lossless,CD
William Sheller,Sheller en solitaire,1991,17,15,20,lossless,CD
Keith Jarrett,Bye Bye Blackbird,1993,17,15,20,lossless,CD
William Sheller,Sheller en solitaire,1991,17,15,20,lossless,CD
Timmy Thomas,Why Can't We Live Together  [ collectables ],1993,17,15,20,lossless,CD
Count Basie And His Orchestra,Warm Breeze,1984,17,15,20,lossless,CD
